#filename theo_tt tshift obs_tt polarity stnm netwk rayp stla stlo stel evla evlo evdp dist az baz snr xcoeff0 ccmean maxamp
AK.GRIN..BHZ.M.2025.087.063128.SAC 751.464644 9.281783 760.746427 1 GRIN AK 0.045173 60.280499 -143.320999 625.000000 22.013000 95.921997 35.000000 84.949640 25.356783 306.944419 42.528581 1.000000 0.964220 0.188032
AK.DIV..BHZ.M.2025.087.063121.SAC 743.964479 8.379999 752.344478 1 DIV AK 0.046210 61.129200 -145.774902 941.400024 22.013000 95.921997 35.000000 83.474897 25.374068 304.806022 49.720303 1.000000 0.953116 0.177054
AK.CUT..BHZ.M.2025.087.063108.SAC 730.972240 7.481200 738.453440 1 CUT AK 0.047896 62.405800 -150.262497 574.000000 22.013000 95.921997 35.000000 80.991614 25.455538 300.862935 44.840990 1.000000 0.961265 0.189085
AK.L22K..BHZ.M.2025.087.063106.SAC 729.562310 7.882827 737.445137 1 L22K AK 0.048084 62.525799 -150.770294 817.000000 22.013000 95.921997 35.000000 80.727586 25.472322 300.415385 33.451190 1.000000 0.958842 0.202621
AK.BGLC..BHZ.M.2025.087.063129.SAC 752.026515 9.177958 761.204473 1 BGLC AK 0.045094 60.120499 -143.284103 10.000000 22.013000 95.921997 35.000000 85.060749 25.474037 306.987140 24.164843 1.000000 0.940140 0.175095
AK.GOAT..BHZ.M.2025.087.063124.SAC 747.722869 8.681253 756.404122 1 GOAT AK 0.045696 60.580502 -144.729202 895.500000 22.013000 95.921997 35.000000 84.209711 25.528407 305.736536 41.614057 1.000000 0.962089 0.178065
AK.VMT..BHZ.M.2025.087.063120.SAC 742.879350 7.979935 750.859285 1 VMT AK 0.046357 61.083000 -146.367996 97.000000 22.013000 95.921997 35.000000 83.264277 25.576358 304.310946 46.893152 1.000000 0.962334 0.164722
AK.TNA..BHZ.M.2025.087.063021.SAC 683.857523 8.182198 692.039721 1 TNA AK 0.053465 65.559799 -167.926697 74.000000 22.013000 95.921997 35.000000 72.632082 25.599903 284.992200 50.865935 1.000000 0.965507 0.186273
AK.SUCK..BHZ.M.2025.087.063128.SAC 751.170691 9.183455 760.354146 1 SUCK AK 0.045214 60.071999 -143.779007 467.000000 22.013000 95.921997 35.000000 84.891511 25.661603 306.575340 28.415207 1.000000 0.964265 0.183428
AK.RAG..BHZ.M.2025.087.063125.SAC 748.403331 8.683844 757.087175 1 RAG AK 0.045601 60.386299 -144.677307 752.000000 22.013000 95.921997 35.000000 84.344271 25.671762 305.796587 31.315147 1.000000 0.953653 0.168803
AK.GHO..BHZ.M.2025.087.063112.SAC 735.563602 7.980345 743.543947 1 GHO AK 0.047302 61.771000 -148.925995 1032.000000 22.013000 95.921997 35.000000 81.859344 25.672405 302.077186 46.198449 1.000000 0.967184 0.155084
AK.H16K..BHZ.M.2025.087.063036.SAC 698.890529 8.185448 707.075977 1 H16K AK 0.051746 64.637901 -162.238998 216.000000 22.013000 95.921997 35.000000 75.202103 25.759594 290.196843 44.660084 1.000000 0.960397 0.200718
AK.KNK..BHZ.M.2025.087.063114.SAC 737.557992 8.090600 745.648592 1 KNK AK 0.047052 61.413101 -148.458496 598.000000 22.013000 95.921997 35.000000 82.239688 25.857802 302.514775 60.123769 1.000000 0.967694 0.160260
AT.PMR..BHZ.M.2025.087.063112.SAC 735.627929 7.789878 743.417807 1 PMR AT 0.047294 61.592201 -149.130798 100.000000 22.013000 95.921997 35.000000 81.871611 25.877777 301.926767 31.823437 1.000000 0.963164 0.191753
